NAME,"CITY/
TOWN",INCORPORATED,CHARTER ADOPTED,"2022
CENSUS ESTIMATES",COUNTY,CITY HALL HOURS,DAY(S) COUNCIL MEETS,COUNCIL SIZE,COUNCIL-MANAGER FORM OF GOVT,LEGISLATIVE DISTRICT,CONGRESSIONAL DISTRICT,"AREA
WITHIN
LIMITS",ELEVATION
APACHE JUNCTION,CITY,1978,NO,"40,173 ",MARICOPA/PINAL,M-TH 7:00-6:00,1st & 3rd Tuesdays,7,YES,"7, 10",5,35 sq. mi.,"1,715 ft."
AVONDALE,CITY,1946,1959,"91,617 ",MARICOPA,M-TH 7:00-6:00,1st & 3rd Mondays,7,YES,22,7,54.8 sq. mi.,968 ft.
BENSON,CITY,1924,NO,"5,352 ",COCHISE,M-F 8:00-5:00,2nd Monday,7,YES,19,6,42 sq. mi.,"3,585 ft."
BISBEE,CITY,1902,1988,"5,008 ",COCHISE,M-F 7:30-5:15,1st & 3rd Tuesdays,7,YES,21,7,5.4 sq. mi.,"5,350 ft."
BUCKEYE,CITY,1929,NO,"105,567 ",MARICOPA,M-F 8:00-5:00,1st & 3rd Tuesdays,7,YES,"23, 25",9,640 sq. mi.,888 ft.
BULLHEAD CITY,CITY,1984,NO,"42,920 ",MOHAVE,M-F 8:00-5:00,1st & 3rd Tuesdays,7,YES,30,9,61.4 sq. mi.,504 ft.
CAMP VERDE,TOWN,1986,NO,"12,409 ",YAVAPAI,"M-TH 7:00-5:00
F 7:00-11:00",1st & 3rd Wednesdays,7,YES,1,2,47 sq. mi.,"3,160 ft."
CAREFREE,TOWN,1984,NO,"3,687 ",MARICOPA,M-F 8:00-4:30,1st Tuesday,7,NO,3,1,8.5 sq. mi.,"2,200 ft."
CASA GRANDE,CITY,1915,1975,"60,032 ",PINAL,M-F 8:00-5:00,1st & 3rd Mondays,7,YES,16,"2, 6",110.12 sq. mi.,"1,405 ft."
CAVE CREEK,TOWN,1986,NO,"5,135 ",MARICOPA,M-TH 7:00-5:00,1st & 3rd Mondays,7,YES,3,1,31 sq. mi.,"2,200 ft."
CHANDLER,CITY,1920,1965,"279,458 ",MARICOPA,M-F 8:00-5:00,2nd & 4th Thurs and the Mon preceding the 2nd & 4th Thurs,7,YES,"12, 13, 14","4, 5",63.3 sq. mi.,"1,213 ft."
CHINO VALLEY,TOWN,1970,NO,"13,669 ",YAVAPAI,M-TH 8:00-5:00,2nd & 4th Tuesdays,7,YES,1,2,63.5 sq. mi.,"4,720 ft."
CLARKDALE,TOWN,1957,NO,"4,836 ",YAVAPAI,"M-TH 8:00-5:30,
F 8:00-12:00",2nd & 4th Tuesdays,5,YES,1,2,10.14 sq. mi.,"3,550 ft."
CLIFTON,TOWN,1909,NO,"3,771 ",GREENLEE,M-TH 7:00-5:00,2nd Thursday,7,YES,19,6,15 sq. mi.,"3,502 ft."
COLORADO CITY,TOWN,1985,NO,"2,550 ",MOHAVE,M-F 9:00-5:00,Monday after 2nd Saturday,7,YES,30,9,7.3 sq. mi.,"5,200 ft."
COOLIDGE,CITY,1945,NO,"16,711 ",PINAL,M-F 8:00-5:00,2nd & 4th Mondays,7,YES,16,2,83.4 sq. mi.,"1,500 ft."
COTTONWOOD,CITY,1960,NO,"12,943",YAVAPAI,M-F 8:00-12:30,1st & 3rd Tuesdays,7,YES,1,2,27.46 sq. mi.,"3,320 ft."
DEWEY-HUMBOLDT,TOWN,2004,NO,"4,485 ",YAVAPAI,M-F 8:00-5:00,1st & 3rd Tuesdays,7,YES,1,2,18.7 sq. mi.,"4,800 ft."
DOUGLAS,CITY,1905,1982,"15,589 ",COCHISE,M-F 8:00-5:00,2nd Wednesay,7,YES,19,7,6 sq. mi.,"4,020 ft."
DUNCAN,TOWN,1938,NO,668 ,GREENLEE,M-TH 8:00-5:30,2nd Thursday,5,YES,19,6,4 sq. mi.,"3,535 ft."
EAGAR,TOWN,1948,NO,"4,419 ",APACHE,M-TH 7:00-5:30,1st & 3rd Tuesdays,7,YES,6,2,15 sq. mi.,"7,090 ft."
EL MIRAGE,CITY,1951,NO,"35,985 ",MARICOPA,M-TH 7:00-5:30,"1st & 3rd Tuesdays; 
1st Tuesday in Nov & Dec",7,YES,29,9,9.9 sq. mi.,"1,145 ft."
ELOY,CITY,1949,NO,"17,042 ",PINAL,M-F 8:00-5:00,2nd & 4th Mondays,7,YES,16,6,109 sq. mi.,"1,565 ft."
