# Title: January 2016 - December 2017 Contiguous U.S. County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,65.9,2,126,63.9
AL-003,Baldwin County,Alabama,68.9,2.1,127,66.8
AL-005,Barbour County,Alabama,66.9,2.1,129,64.8
AL-007,Bibb County,Alabama,64.4,1.7,126,62.7
AL-009,Blount County,Alabama,63.5,2.8,129,60.6
AL-011,Bullock County,Alabama,66.6,2.4,129,64.1
AL-013,Butler County,Alabama,66.5,1.9,125,64.6
AL-015,Calhoun County,Alabama,63.9,3,129,61
AL-017,Chambers County,Alabama,63.6,2.1,128,61.5
AL-019,Cherokee County,Alabama,63.2,2.6,129,60.6
AL-021,Chilton County,Alabama,64,1.3,116,62.7
AL-023,Choctaw County,Alabama,66.5,2,127,64.5
AL-025,Clarke County,Alabama,66.9,2,127,64.9
AL-027,Clay County,Alabama,63,2.3,128,60.7
AL-029,Cleburne County,Alabama,63.1,3.2,129,59.9
AL-031,Coffee County,Alabama,67.2,1.8,126,65.4
AL-033,Colbert County,Alabama,62.2,2.2,127,59.9
AL-035,Conecuh County,Alabama,66.8,1.4,122,65.4
AL-037,Coosa County,Alabama,64.1,1.8,126,62.3
AL-039,Covington County,Alabama,67,1.5,122,65.6
AL-041,Crenshaw County,Alabama,66.4,2,126,64.4
AL-043,Cullman County,Alabama,62.7,2.4,127,60.3
AL-045,Dale County,Alabama,67.6,1.9,127,65.7
AL-047,Dallas County,Alabama,66.4,2,125,64.3
AL-049,DeKalb County,Alabama,61.5,2.3,128,59.3
AL-051,Elmore County,Alabama,66.1,2.3,128,63.8
AL-053,Escambia County,Alabama,67.5,1.5,123,66
AL-055,Etowah County,Alabama,63.6,2.8,129,60.9
AL-057,Fayette County,Alabama,64.2,2.3,128,62
AL-059,Franklin County,Alabama,62,2.1,127,59.9
AL-061,Geneva County,Alabama,67.9,1.8,125,66.1
AL-063,Greene County,Alabama,65.4,1.6,126,63.8
AL-065,Hale County,Alabama,65.3,1.6,126,63.7
AL-067,Henry County,Alabama,67.8,2.1,129,65.7
AL-069,Houston County,Alabama,68.4,1.9,127,66.5
AL-071,Jackson County,Alabama,61.7,2.3,128,59.4
AL-073,Jefferson County,Alabama,64.3,2.5,128,61.8
AL-075,Lamar County,Alabama,64.6,2.6,128,62.1
AL-077,Lauderdale County,Alabama,61.9,2.4,128,59.5
AL-079,Lawrence County,Alabama,61.9,1.8,126,60.1
AL-081,Lee County,Alabama,64.8,1.8,126,63
AL-083,Limestone County,Alabama,62.4,2.6,129,59.8
AL-085,Lowndes County,Alabama,67,2.5,127,64.6
AL-087,Macon County,Alabama,66.2,2.2,128,64
AL-089,Madison County,Alabama,62.5,2.6,129,59.9
AL-091,Marengo County,Alabama,66,1.7,127,64.3
AL-093,Marion County,Alabama,62.8,2.1,127,60.8
AL-095,Marshall County,Alabama,62.9,2.6,129,60.3
AL-097,Mobile County,Alabama,68.6,2.2,126,66.4
AL-099,Monroe County,Alabama,67.1,2,124,65.1
AL-101,Montgomery County,Alabama,67.2,2.8,129,64.4
AL-103,Morgan County,Alabama,62.6,2.4,127,60.2
AL-105,Perry County,Alabama,65.4,1.8,127,63.6
AL-107,Pickens County,Alabama,65.3,2.2,128,63.1
AL-109,Pike County,Alabama,66.6,2,127,64.6
AL-111,Randolph County,Alabama,63,2.6,128,60.5
AL-113,Russell County,Alabama,65.8,1.6,123,64.2
AL-115,St. Clair County,Alabama,63.9,2.8,129,61.1
AL-117,Shelby County,Alabama,64.1,2.1,126,62
AL-119,Sumter County,Alabama,65.8,1.7,127,64
AL-121,Talladega County,Alabama,64,2.3,127,61.8
AL-123,Tallapoosa County,Alabama,64.1,2,128,62.1
AL-125,Tuscaloosa County,Alabama,64.9,1.9,128,63
AL-127,Walker County,Alabama,63.7,2,128,61.6
AL-129,Washington County,Alabama,67.3,1.9,126,65.4
AL-131,Wilcox County,Alabama,66.7,2,125,64.7
AL-133,Winston County,Alabama,62.1,1.8,127,60.2
AZ-001,Apache County,Arizona,52.6,2.8,129,49.7
AZ-003,Cochise County,Arizona,63.2,2.9,128,60.3
