OBJECTID,COUNTY,CITY,SHAPE_Length,SHAPE_Area
1,San Bernardino County,Adelanto,122818.026283333,202527273.046555
2,Los Angeles County,Agoura Hills,29624.5333612793,29638755.5246717
3,Alameda County,Alameda,52126.4209489695,43568058.1171643
4,Alameda County,Albany,16740.6630680111,7549727.149193
5,Los Angeles County,Alhambra,25462.3414710914,28881675.9801194
6,Orange County,Aliso Viejo,33779.8626419035,25900825.4179794
7,Modoc County,Alturas,23788.7616661524,13363842.8680838
8,Amador County,Amador City,4618.24426569403,1307519.8309584
9,Napa County,American Canyon,34991.2684739695,25705072.6290428
10,Orange County,Anaheim,147762.282927297,191034990.488128
11,Shasta County,Anderson,47507.3562981203,32458459.79568
12,Calaveras County,Angels,30295.3869575186,14886743.2053548
13,Contra Costa County,Antioch,74770.9639841574,124862481.55516
14,San Bernardino County,Apple Valley,105052.558999658,294422850.727054
15,Los Angeles County,Arcadia,48662.4139236102,42082476.9553807
16,Humboldt County,Arcata,75159.8636744409,51385136.7678083
17,San Luis Obispo County,Arroyo Grande,31880.1365785764,22988078.2335726
18,Los Angeles County,Artesia,15056.7089376522,6128517.01439444
19,Kern County,Arvin,26372.5769796321,18685952.1657977
20,San Luis Obispo County,Atascadero,57362.882230573,102496367.95921
21,San Mateo County,Atherton,31010.7692497597,20729530.7553577
22,Merced County,Atwater,45476.2913072889,27574046.9636431
23,Placer County,Auburn,59836.9312365978,30627255.5619683
24,Los Angeles County,Avalon,20631.6339529705,10714870.7970649
25,Kings County,Avenal,55437.4542012687,77386731.0631251
26,Los Angeles County,Azusa,58591.2809552887,36615303.8717182
27,Kern County,Bakersfield,530718.998579671,592716919.27284
28,Los Angeles County,Baldwin Park,32301.8468943092,25658157.6631734
29,Riverside County,Banning,98625.7927439133,87710282.7624348
30,San Bernardino County,Barstow,124527.843228814,159114544.811036
31,Riverside County,Beaumont,95609.0438393757,114564081.508409
32,Los Angeles County,Bell,24189.3708971945,9895749.53239382
33,Los Angeles County,Bell Gardens,14228.3623325958,9303033.18984987
34,Los Angeles County,Bellflower,21825.9169078993,23316781.3063337
35,San Mateo County,Belmont,28146.2570020617,19129342.8022631
36,Marin County,Belvedere,8299.70587864326,2643315.21657927
37,Solano County,Benicia,44278.9857607254,54551095.0513384
38,Alameda County,Berkeley,41458.912836608,44039183.5399515
39,Los Angeles County,Beverly Hills,31778.1585970414,21616876.9943097
