name,County fips,,,
Zephyr Cove,32005,,,
Yerington,32019,,,
Winnemucca,32013,,,
Winchester,32003,,,
Whitney,32003,,,
West Wendover,32007,,,
Wells,32007,,,
Washoe Valley,32031,,,
Walker Lake,32021,,,
Wadsworth,32031,,,
Virginia City,32029,,,
Verdi,32031,,,
Valmy,32013,,,
Ursine,32017,,,
Unionville,32027,,,
Topaz Ranch Estates,32005,,,
Topaz Lake,32005,,,
Tonopah,32023,,,
Sutcliffe,32031,,,
Sunrise Manor,32003,,,
Sun Valley,32031,,,
Summerlin South,32003,,,
Stateline,32005,,,
Stagecoach,32019,,,
Spring Valley,32003,,,
Spring Creek,32007,,,
Sparks,32031,,,
Spanish Springs,32031,,,
Smith Valley,32019,,,
Skyland,32005,,,
Silver Springs,32019,,,
Silver Peak,32009,,,
Silver City,32019,,,
Searchlight,32003,,,
Schurz,32021,,,
Sandy Valley,32003,,,
Ruth,32033,,,
Ruhenstroth,32005,,,
Round Hill Village,32005,,,
Reno,32031,,,
Rachel,32017,,,
Preston,32033,,,
Pioche,32017,,,
Paradise Valley,32013,,,
Paradise,32003,,,
Panaca,32017,,,
Pahrump,32023,,,
Owyhee,32007,,,
Osino,32007,,,
Orovada,32013,,,
Oasis,32007,,,
North Las Vegas,32003,,,
Nixon,32031,,,
Nelson,32003,,,
Nellis AFB,32003,,,
Mountain City,32007,,,
Mount Wilson,32017,,,
Mount Charleston,32003,,,
Montello,32007,,,
Mogul,32031,,,
Moapa Valley,32003,,,
Moapa Town,32003,,,
Minden,32005,,,
Mina,32021,,,
Mesquite,32003,,,
McGill,32033,,,
McDermitt,32013,,,
Lund,32033,,,
Lovelock,32027,,,
Logan Creek,32005,,,
Lemmon Valley,32031,,,
Laughlin,32003,,,
Las Vegas,32003,,,
Lamoille,32007,,,
Lakeridge,32005,,,
Kingston,32015,,,
Kingsbury,32005,,,
Johnson Lane,32005,,,
Jackpot,32007,,,
Indian Springs,32003,,,
Indian Hills,32005,,,
Incline Village,32031,,,
Imlay,32027,,,
Humboldt River Ranch,32027,,,
Hiko,32017,,,
Henderson,32003,,,
Hawthorne,32021,,,
Grass Valley,32027,,,
Goodsprings,32003,,,
Goldfield,32009,,,
Golden Valley,32031,,,
Golconda,32013,,,
Glenbrook,32005,,,
Gerlach,32031,,,
Genoa,32005,,,
Gardnerville Ranchos,32005,,,
Gardnerville,32005,,,
Gabbs,32023,,,
Fort McDermitt,32013,,,
Fish Springs,32005,,,
Fernley,32019,,,
Fallon Station,32001,,,
Fallon,32001,,,
Eureka,32011,,,
Enterprise,32003,,,
Empire,32031,,,
Ely,32033,,,
Elko,32007,,,
East Valley,32005,,,
Dyer,32009,,,
Dry Valley,32017,,,
Double Spring,32005,,,
Denio,32013,,,
Dayton,32019,,,
Crystal Bay,32031,,,
Crescent Valley,32011,,,
Cold Springs,32031,,,
Carter Springs,32005,,,
Carson City,32510,,,
Carlin,32007,,,
Caliente,32017,,,
Cal-Nev-Ari,32003,,,
Bunkerville,32003,,,
Boulder City,32003,,,
Blue Diamond,32003,,,
Bennett Springs,32017,,,
Beaverdam,32017,,,
Beatty,32023,,,
Battle Mountain,32015,,,
Baker,32033,,,
Austin,32015,,,
Amargosa Valley,32023,,,
Alamo,32017,,,
