Zip Code,City,City-Zip,County
97330,Adair Village,Adair Village-97330,Benton
97810,Adams,Adams-97810,Umatilla
97620,Adel,Adel-97620,Lake
97901,Adrian,Adrian-97901,Malheur
97068,Advance,Advance-97068,Clackamas
97070,Advance,Advance-97070,Clackamas
97365,Agate Beach,Agate Beach-97365,Lincoln
97406,Agness,Agness-97406,Curry
97211,Alameda,Alameda-97211,Multnomah
97321,Albany,Albany-97321,Linn
97322,Albany,Albany-97322,Linn
97055,Alder Creek,Alder Creek-97055,Clackamas
97407,Allegany,Allegany-97407,Coos
97003,Aloha,Aloha-97003,Washington
97006,Aloha,Aloha-97006,Washington
97007,Aloha,Aloha-97007,Washington
97078,Aloha,Aloha-97078,Washington
97456,Alpine,Alpine-97456,Benton
97324,Alsea,Alsea-97324,Benton
97409,Alvadore,Alvadore-97409,Lane
97101,Amity,Amity-97101,Yamhill
97080,Anderson,Anderson-97080,Multnomah
97001,Antelope,Antelope-97001,Wasco
97530,Applegate,Applegate-97530,Jackson
97458,Arago,Arago-97458,Coos
97217,Arbor Lodge,Arbor Lodge-97217,Multnomah
97102,Arch Cape,Arch Cape-97102,Clatsop
97202,Ardenwald,Ardenwald-97202,Multnomah
97230,Argay,Argay-97230,Multnomah
97812,Arlington,Arlington-97812,Gilliam
97861,Arlington,Arlington-97861,Gilliam
97221,Arlington Heights,Arlington Heights-97221,Multnomah
97219,Arnold Creek,Arnold Creek-97219,Multnomah
97902,Arock,Arock-97902,Malheur
97080,Asert,Asert-97080,Multnomah
97219,Ash Creek,Ash Creek-97219,Multnomah
97267,Ashdale,Ashdale-97267,Clackamas
97520,Ashland,Ashland-97520,Jackson
97711,Ashwood,Ashwood-97711,Jefferson
97103,Astoria,Astoria-97103,Clatsop
97813,Athena,Athena-97813,Umatilla
97325,Aumsville,Aumsville-97325,Marion
97002,Aurora,Aurora-97002,Marion
97410,Azalea,Azalea-97410,Douglas
97814,Baker,Baker-97814,Baker
97814,Baker City,Baker City-97814,Baker
97411,Bandon,Bandon-97411,Coos
97106,Banks,Banks-97106,Washington
97109,Banks,Banks-97109,Washington
97125,Banks,Banks-97125,Washington
97013,Barlow,Barlow-97013,Clackamas
97009,Barton,Barton-97009,Clackamas
97420,Barview,Barview-97420,Coos
97817,Bates,Bates-97817,Grant
97266,Battin,Battin-97266,Multnomah
97107,Bay City,Bay City-97107,Tillamook
97621,Beatty,Beatty-97621,Klamath
97211,Beaumont Wilshire,Beaumont Wilshire-97211,Multnomah
97212,Beaumont Wilshire,Beaumont Wilshire-97212,Multnomah
97213,Beaumont Wilshire,Beaumont Wilshire-97213,Multnomah
97218,Beaumont Wilshire,Beaumont Wilshire-97218,Multnomah
97108,Beaver,Beaver-97108,Tillamook
97112,Beaver,Beaver-97112,Tillamook
97004,Beavercreek,Beavercreek-97004,Clackamas
97003,Beaverton,Beaverton-97003,Washington
97005,Beaverton,Beaverton-97005,Washington
97006,Beaverton,Beaverton-97006,Washington
97007,Beaverton,Beaverton-97007,Washington
97008,Beaverton,Beaverton-97008,Washington
97075,Beaverton,Beaverton-97075,Washington
97076,Beaverton,Beaverton-97076,Washington
97077,Beaverton,Beaverton-97077,Washington
97078,Beaverton,Beaverton-97078,Washington
97079,Beaverton,Beaverton-97079,Washington
97008,Bel-Air,Bel-Air-97008,Washington
97456,Bellfountain,Bellfountain-97456,Benton
97701,Bend,Bend-97701,Deschutes
97702,Bend,Bend-97702,Deschutes
97703,Bend,Bend-97703,Deschutes
97707,Bend,Bend-97707,Deschutes
97708,Bend,Bend-97708,Deschutes
97709,Bend,Bend-97709,Deschutes
97124,Bendemeer,Bendemeer-97124,Washington
97124,Bethany,Bethany-97124,Washington
97016,Birkenfeld,Birkenfeld-97016,Columbia
97412,Blachly,Blachly-97412,Lane
97759,Black Butte,Black Butte-97759,Deschutes
97759,Black Butte Ranch,Black Butte Ranch-97759,Deschutes
97326,Blodgett,Blodgett-97326,Lincoln
97113,Blooming,Blooming-97113,Washington
97413,Blue River,Blue River-97413,Lane
97622,Bly,Bly-97622,Klamath
97818,Boardman,Boardman-97818,Morrow
97211,Boise,Boise-97211,Multnomah
97227,Boise,Boise-97227,Multnomah
97068,Bolton,Bolton-97068,Clackamas
97623,Bonanza,Bonanza-97623,Klamath
97224,Bonita,Bonita-97224,Washington
97014,Bonneville,Bonneville-97014,Hood River
97229,Bonny Slope,Bonny Slope-97229,Washington
97009,Boring,Boring-97009,Clackamas
97089,Boring,Boring-97089,Clackamas
97124,Bowers Junction,Bowers Junction-97124,Washington
97206,Brentwood-Darlington,Brentwood-Darlington-97206,Multnomah
97219,Briarwood,Briarwood-97219,Multnomah
97010,Bridal Veil,Bridal Veil-97010,Multnomah
97819,Bridgeport,Bridgeport-97819,Baker
97211,Bridgeton,Bridgeton-97211,Multnomah
97217,Bridgeton,Bridgeton-97217,Multnomah
97201,Bridlemile,Bridlemile-97201,Multnomah
97221,Bridlemile,Bridlemile-97221,Multnomah
97136,Brighton,Brighton-97136,Tillamook
97011,Brightwood,Brightwood-97011,Clackamas
97414,Broadbent,Broadbent-97414,Coos
97903,Brogan,Brogan-97903,Malheur
97415,Brookings,Brookings-97415,Curry
97202,Brooklyn,Brooklyn-97202,Multnomah
97305,Brooks,Brooks-97305,Marion
97206,Brookwild,Brookwild-97206,Multnomah
97712,Brothers,Brothers-97712,Deschutes
97327,Brownsville,Brownsville-97327,Linn
97035,Bryant,Bryant-97035,Clackamas
97214,Buckman,Buckman-97214,Multnomah
97055,Bull Run,Bull Run-97055,Clackamas
97231,Burlington,Burlington-97231,Multnomah
97720,Burns,Burns-97720,Harney
97722,Burns,Burns-97722,Harney
97522,Butte Falls,Butte Falls-97522,Jackson
97109,Buxton,Buxton-97109,Washington
97416,Camas Valley,Camas Valley-97416,Douglas
97730,Camp Sherman,Camp Sherman-97730,Jefferson
97013,Canby,Canby-97013,Clackamas
97045,Canemah,Canemah-97045,Clackamas
97110,Cannon Beach,Cannon Beach-97110,Clatsop
97820,Canyon City,Canyon City-97820,Grant
97417,Canyonville,Canyonville-97417,Douglas
97141,Cape Meares,Cape Meares-97141,Tillamook
97111,Carlton,Carlton-97111,Yamhill
97116,Carnation,Carnation-97116,Washington
